name,parent,value
Origin,,
China,Origin,100
South Korea,Origin,43
India,Origin,41
Nepal,Origin,40
Bangladesh,Origin,39
Cambodia,Origin,37
Tunisia,Origin,28
Pakistan,Origin,25
Morocco,Origin,24
Israel,Origin,23
Sri Lanka,Origin,20
Taiwan,Origin,16
Algeria,Origin,16
Singapore,Origin,15
Philippines,Origin,15
Romania,Origin,15
Kenya,Origin,13
Hong Kong,Origin,12
Canada,Origin,11
Japan,Origin,11
France,Origin,11
Portugal,Origin,11
Iraq,Origin,10
Italy,Origin,10
US,Origin,10
Egypt,Origin,10
Malaysia,Origin,10
Austria,Origin,10
Nigeria,Origin,10
Switzerland,Origin,10
Bolivia,Origin,10
New Zealand,Origin,10
Belarus,Origin,9
Ireland,Origin,9
Greece,Origin,9
Jordan,Origin,9
Germany,Origin,9
Greece,Origin,9
Jordan,Origin,9
Germany,Origin,9
Australia,Origin,9
South Africa,Origin,8
Mexico,Origin,8
Iran,Origin,8
Bulgaria,Origin,8
Vietnam,Origin,8
Serbia,Origin,8
Indonesia,Origin,8
UAE,Origin,7
Czechia,Origin,7
