name,parent,value,,,,,,
Origin,,,,,,,,
China,Origin,100,,,,,,
South Korea,Origin,17,,,,,,
Armenia,Origin,15,,,,,,
St. Helena,Origin,14,,,,,,
Israel,Origin,10,,,,,,
Belarus,Origin,10,,,,,,
Nepal,Origin,10,,,,,,
Estonia,Origin,10,,,,,,
Hong Kong,Origin,9,,,,,,
Singapore,Origin,9,,,,,,
India,Origin,9,,,,,,
Ukraine,Origin,9,,,,,,
Sri Lanka,Origin,9,,,,,,
Latvia,Origin,7,,,,,,
Tunisia,Origin,7,,,,,,
Bulgaria,Origin,7,,,,,,
Finland,Origin,7,,,,,,
Czechia,Origin,7,,,,,,
Lithuania,Origin,7,,,,,,
Serbia,Origin,6,,,,,,
Sweden,Origin,6,,,,,,
New Zealand,Origin,6,,,,,,
Switzerland,Origin,6,,,,,,
Taiwan,Origin,6,,,,,,
Slovenia,Origin,6,,,,,,
Pakistan,Origin,6,,,,,,
Portugal,Origin,6,,,,,,
Canada,Origin,6,,,,,,
Norway,Origin,6,,,,,,
Netherlands,Origin,6,,,,,,
Philippines,Origin,6,,,,,,
Russia,Origin,6,,,,,,
Romania,Origin,5,,,,,,
Ireland,Origin,5,,,,,,
Denmark,Origin,5,,,,,,
Costa Rica,Origin,5,,,,,,
Germany,Origin,5,,,,,,
Bangladesh,Origin,5,,,,,,
Austria,Origin,5,,,,,,
United States,Origin,5,,,,,,
Japan,Origin,5,,,,,,
Australia,Origin,5,,,,,,
Belgium,Origin,5,,,,,,
Poland,Origin,5,,,,,,
Hungary,Origin,5,,,,,,
Slovakia,Origin,5,,,,,,
Croatia,Origin,5,,,,,,
United Kingdom,Origin,5,,,,,,
France,Origin,5,,,,,,
Uruguay,Origin,3,,,,,,
