name,parent,value
Origin,,
St. Helena,Origin,11
South Korea,Origin,10
Israel,Origin,8
Singapore,Origin,8
Hong Kong,Origin,5
Estonia,Origin,5
Switzerland,Origin,5
Taiwan,Origin,4
India,Origin,4
US,Origin,4
Finland,Origin,4
Norway,Origin,4
Ireland,Origin,4
Canada,Origin,4
Sweden,Origin,4
Netherlands,Origin,3
New Zealand,Origin,3
Slovenia,Origin,3
Czechia,Origin,3
Germany,Origin,3
Australia,Origin,3
UK,Origin,3
Denmark,Origin,3
Russia,Origin,3
Austria,Origin,3
Belgium,Origin,3
Sri Lanka,Origin,3
France,Origin,3
Tunisia,Origin,3
Japan,Origin,3
Belarus,Origin,3
Portugal,Origin,2
Croatia,Origin,2
Ukraine,Origin,2
Pakistan,Origin,2
Kenya,Origin,2
Poland,Origin,2
South Africa,Origin,2
Hungary,Origin,2
Slovakia,Origin,2
Serbia,Origin,2
Greece,Origin,2
Spain,Origin,2
Romania,Origin,2
Chile,Origin,2
Bangladesh,Origin,2
Nigeria,Origin,2
Bulgaria,Origin,2
Philippines,Origin,2
Morocco,Origin,1
